schema,order,defining_length,num_generations,num_matches,num_expected_matches,schema_fitness,population_fitness
0.....0.,2,6,1,4461,1181.4584463567676,20392946542.2959,31616256127.869293
0.....0.,2,6,2,5472,2336.6954105219884,8004489698.471573,9965255332.816837
0.....0.,2,6,3,6581,3569.3706701466526,2659295212.9319296,3822441050.4886985
0.....0.,2,6,4,9220,3718.0736547590077,1103667089.5666292,1665425150.415031
0.....0.,2,6,5,9825,4961.856926421174,586097197.3101528,1022780299.9892449
0.....0.,2,6,6,9962,4572.147073474663,252017225.5953574,544797240.8480589
0.....0.,2,6,7,9967,3742.3310843608797,91554167.72383766,406202557.004105
0.....0.,2,6,8,9989,1824.3168401917144,84363444.3357333,118625766.977194
0.....0.,2,6,9,9985,5768.961292374643,116492607.30898948,258504468.91212597
0.....0.,2,6,10,9990,3654.0856451323366,130412252.84050852,225793709.42641997
0.....0.,2,6,11,9989,4685.67745341643,108127355.93247972,260532784.89951402
0.....0.,2,6,12,9993,3366.631303827104,43607417.163785644,168266222.32206497
0.....0.,2,6,13,9979,2103.0986759842967,63774307.17531414,290354961.326193
0.....0.,2,6,14,9979,1779.9338541300258,44236052.19185288,201514571.968262
0.....0.,2,6,15,9971,1778.9234936844048,63542448.086128764,395248560.015891
0.....0.,2,6,16,9962,1301.7653439261292,71014252.65795122,356464977.27315706
0.....0.,2,6,17,9984,1611.6678193314865,54496583.08675281,214265176.41766804
0.....0.,2,6,18,9982,2062.1611244025607,72944804.36180425,268339872.89383507
0.....0.,2,6,19,9978,2203.571071899672,33934526.52619562,329912865.629016
0.....0.,2,6,20,9991,833.4631139889331,17626431.58996597,93963833.87216102
0.....0.,2,6,21,9971,1521.9941148458847,17188146.59787183,200685024.502819
0.....0.,2,6,22,9982,693.5106620434342,40319064.252144866,223439846.36522
0.....0.,2,6,23,9989,1462.7419893663277,14876950.065773351,76032894.277374
0.....0.,2,6,24,9969,1587.2112698003104,23203928.158046946,301697021.91065
0.....0.,2,6,25,9962,622.6477566302789,9490638.345053202,497409065.1044839
0.....0.,2,6,26,9968,154.3578101029341,36469437.03874098,391944608.716878
0.....0.,2,6,27,9988,753.2042058352429,11162959.928605327,191697188.55524302
0.....0.,2,6,28,9981,472.3267025020646,31592519.101946697,265755549.97013497
0.....0.,2,6,29,9974,963.5545623597018,98925471.68050429,436583353.358256
0.....0.,2,6,30,9994,1835.3152107834155,5763439.253274964,122121498.05001904
0.....0.,2,6,31,9996,383.02690814712264,4633386.465412165,55310267.520904005
0.....0.,2,6,32,9972,680.0163532331165,41395006.25241976,318514464.245638
0.....0.,2,6,33,9992,1052.4498389248142,4793454.934332467,73306675.600541
0.....0.,2,6,34,10000,530.5885720135705,6379381.465558001,6379381.465558001
0....0..,2,5,0,2576,0,52411313121.444435,88968961610.3632
0....0..,2,5,1,4558,1274.8408675305038,21198865599.871742,31959400160.982693
0....0..,2,5,2,4121,2539.872537801534,6188604539.244809,10536461089.187027
0....0..,2,5,3,8705,2033.4063617583233,1966053414.224579,3157536922.9114027
0....0..,2,5,4,9656,4553.436138111052,1006636459.8626969,1448447550.393009
0....0..,2,5,5,9887,5637.554317410654,264064539.15797412,463011458.78075206
0....0..,2,5,6,9960,4737.033748636828,88889993.19573595,302244010.701805
0....0..,2,5,7,9996,2460.810138149122,43817227.88468687,71639117.82902402
0....0..,2,5,8,9985,5136.230625071358,25165930.33602804,243523722.43942198
0....0..,2,5,9,9997,866.8488655931591,22014696.751513455,28005016.456944
0....0..,2,5,10,9994,6601.918625554179,21587473.836543925,92592270.45823702
0....0..,2,5,11,9987,1957.4471055600145,36842783.13503654,167506296.89569303
0....0..,2,5,12,9984,1845.3550663230906,67318037.4342478,278609152.62613094
0....0..,2,5,13,9985,2026.582269661849,37004740.89497246,255676343.70292398
0....0..,2,5,14,9983,1214.055356310059,53080026.36603827,232053349.048358
0....0..,2,5,15,9993,1918.3505014862862,63664065.94640649,88785102.119254
0....0..,2,5,16,9972,6019.684918818039,21868435.297773767,293721632.968425
0....0..,2,5,17,9988,623.7170920660703,21163965.891765118,90811166.578607
0....0..,2,5,18,9970,1955.5095059203275,23872517.35704614,344882575.01754403
0....0..,2,5,19,9974,579.7566291160987,21909514.102869462,259070251.6080961
0....0..,2,5,20,9986,708.611445324892,77565475.99029043,129961755.32673304
0....0..,2,5,21,9988,5006.890052385121,22801130.999422308,218495953.85965294
0....0..,2,5,22,9991,875.6188935724768,31162060.825547997,91656566.76342103
0....0..,2,5,23,9995,2853.613453888289,21090491.87108654,36087822.71423
0....0..,2,5,24,9985,4907.184941005537,31920269.116584875,314455390.7911939
0....0..,2,5,25,9976,851.4892484593004,44714543.3804641,361196254.6890511
0....0..,2,5,26,9960,1037.4940191204955,29066581.979779113,375210124.063209
0....0..,2,5,27,9982,648.1900418841725,70374093.71119715,201290072.422612
0....0..,2,5,28,9989,2931.781661406112,31653773.121664826,135650730.021667
0....0..,2,5,29,9962,1958.163551913503,71859308.5844499,576237122.1133561
0....0..,2,5,30,9985,1043.6429371485356,139392478.30573058,310405225.257858
0....0..,2,5,31,9990,3766.8817321563533,119531021.37138738,297464241.58729815
0....0..,2,5,32,9976,3372.3679400696883,60611564.363799095,274197731.8635461
0....0..,2,5,33,9964,1852.5574086584163,106242343.59292953,420788415.50831807
0....0..,2,5,34,9988,2113.44614529959,47589777.832488984,152235405.46248198
0....0..,2,5,35,9984,2623.0111839484184,50562924.03402544,200532725.97161102
0....0..,2,5,36,9993,2114.828212890137,27805017.106362447,142319954.45095205
0....0..,2,5,37,9981,1640.124656322168,28594317.913386434,214268750.77820203
0....0..,2,5,38,9983,1118.9702984463604,61937530.74964642,291403639.0767581
0....0..,2,5,39,9995,1782.5576614756685,29554159.966131065,73382849.142052
0....0..,2,5,40,9987,3381.6639530350794,98591110.24288677,271843733.56482893
0....0..,2,5,41,9983,3042.825733286179,99248842.93363413,285132395.3221659
0....0..,2,5,42,9966,2919.1980519857316,78305827.40918922,361281995.678421
0....0..,2,5,43,9984,1814.6473799514151,99209487.9872636,287101052.64042
0....0..,2,5,44,9997,2898.32174618289,36529396.59098729,88533913.09041902
0....0..,2,5,45,9989,3465.1826412513333,32521296.648109905,103502447.67694399
